27.667,15
214,164.67
223,199
282.33,243.67
5,12
35.667,8.6667
51.333,7
85,20
51.333,22.667
100,14.333
109.67,27
60.333,36.333
37,29
92.667,31
7.3333,38.667
158.33,44.667
87.333,49.333
118,45.667
24.667,51.667
63,53.333
16,55.667
111,55.667
167.33,60
38.333,54.667
191.67,62
81.333,60
160,54
122.33,69
129.67,66.333
69,70
10,66.333
172.33,68
58.667,72.667
205,77
99.667,87.333
165,76
182,81
236.67,86.333
196,90
83.333,85.667
163.33,98
259.67,107.67
233.33,112.67
98,111
201.33,110
222,115
178.67,116.67
150,124.67
293.67,117.67
196,118
210,132
286.67,138.33
293,126.67
250.67,137
171.67,130.33
150,135
261,139
220,145.33
178,150
189,151.67
212.33,152
263,155
169.67,156.67
239,157
298.67,164.33
247.67,162
273.67,160
264,164.67
167,167.67
238,171.67
298.33,175.33
219,173.67
230,180.67
248,190
261.67,179.67
218.33,191
269.67,190
210.33,197
268.67,199
284.67,203.33
293.33,210
217,215.33
229.67,215
258.33,209.67
237.67,230.33
223.33,231.33
289.67,236
258,242.67
293,252
248.33,257
241.33,268.67
270,269.67
277,277
255,288
267,279.33
246,285
266.33,288.67
296.67,292
278,298.67
291.67,299.67
251.33,301
271.67,323.33
295,332.67
287.33,323.33
292.67,341.33
254,343.67
274.67,361.67
289.33,369.67
272,371.67
258.33,385
241.67,391.33
285,394
249,398
257.67,398
